Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
Termy,,,2,6,8,828,12051,12879,1,1,1,21.5,5,0.000054,0.000064,0.000091,0,6,0,0.019966
EconomyAsks,,,21,0,21,156071,0,156071,0,0,0,0,5,0.000151,0.001088,0,0,5,0,0.218031
ThreeWomen_,,,1,0,1,2031,0,2031,0,0,0,0,5,0.000054,0.000007,0,0,4,0,0.015587
jonsessions,,,2,0,2,1115,0,1115,0,0,0,0,104,0.000057,0.000027,0,0,3,0,0.021348
andypatmore,,,3,0,3,777,0,777,0,0,0,0,6,0.000065,0.000128,0,0,2,0,0.030759
jessfultonn,,,1,0,1,876,0,876,0,0,0,0,5,0.000054,0.000007,0,0,1,0,0.015587
angelathompson5,,,1,0,1,1239,0,1239,0,0,0,0,5,0.000054,0.000007,0,0,0,0,0.015587
JamesWrightLD,,,0,47,47,0,196394,196394,1,1,1,0,22,0.000046,0,0.001145,0,54,0,0
RamoneJonny,,,1,0,1,264,0,264,0,0,0,0,22,0.000047,0.000082,0,0,53,0,0.005761
TheVickyMD,,,1,0,1,26960,0,26960,0,0,0,0,22,0.000047,0.000082,0,0,52,0,0.005761
Paul_Furbank,,,1,0,1,432,0,432,0,0,0,0,22,0.000047,0.000082,0,0,51,0,0.005761
Karin_Krause1,,,3,0,3,2636,0,2636,0,0,0,0,72,0.000052,0.000102,0,0,50,0,0.017283
cmwheatley56,,,51,0,51,129296,0,129296,0,0,0,0,75,0.000199,0.004924,0,0,49,0.001176,0.360466
HuwSayer,,,6,0,6,208846,0,208846,0,0,0,0,22,0.000068,0.00048,0,0,48,0,0.043289
dthomas83uk,,,1,0,1,274,0,274,0,0,0,0,22,0.000047,0.000082,0,0,47,0,0.005761
MustardThisWeek,,,1,0,1,845,0,845,0,0,0,0,22,0.000047,0.000082,0,0,46,0,0.005761
RosWright2,,,1,0,1,374,0,374,0,0,0,0,22,0.000047,0.000082,0,0,45,0,0.005761
LDVOTE2017,,,1,0,1,613,0,613,0,0,0,0,22,0.000047,0.000082,0,0,44,0,0.005761
CrawfordKieran,,,1,0,1,131,0,131,0,0,0,0,22,0.000047,0.000082,0,0,43,0,0.005761
Jo_LibDem,,,3,0,3,2198,0,2198,0,0,0,0,22,0.000053,0.000363,0,0,42,0,0.017283
cns_school,,,1,0,1,2025,0,2025,0,0,0,0,22,0.000047,0.000082,0,0,41,0,0.005761
NchLibDems,,,2,0,2,7524,0,7524,0,0,0,0,22,0.000051,0.000083,0,0,40,0,0.016595
PhilMorandi,,,3,0,3,14750,0,14750,0,0,0,0,22,0.000058,0.000161,0,0,39,0,0.017283
Ben9684,,,2,0,2,486,0,486,0,0,0,0,43,0.000051,0.000091,0,0,38,0,0.011522
NCCSchoolApps,,,1,0,1,183,0,183,0,0,0,0,22,0.000047,0.000082,0,0,37,0,0.005761
ThomasBuxton,,,1,0,1,300,0,300,0,0,0,0,22,0.000047,0.000082,0,0,36,0,0.005761
childs_jonathon,,,1,0,1,1378,0,1378,0,0,0,0,22,0.000047,0.000082,0,0,35,0,0.005761
abisnail_nuts,,,1,0,1,132,0,132,0,0,0,0,22,0.000047,0.000082,0,0,34,0,0.005761
Feeding_Britain,,,1,0,1,2786,0,2786,0,0,0,0,22,0.000047,0.000082,0,0,33,0,0.005761
ScogginsTracy,,,1,0,1,297,0,297,0,0,0,0,22,0.000047,0.000082,0,0,32,0,0.005761
Broadland_Dan,,,1,0,1,631,0,631,0,0,0,0,22,0.000047,0.000082,0,0,31,0,0.005761
mpgentles,,,1,0,1,416,0,416,0,0,0,0,22,0.000047,0.000082,0,0,30,0,0.005761
julian47hill,,,3,0,3,10710,0,10710,0,0,0,0,85,0.000053,0.000133,0,0,29,0,0.017283
