,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
0,Termy,2,6,8,828,12051,12879,1,1,1,21.5,5,5.40E-05,6.40E-05,9.10E-05,0,6,0,0.019966,Termy
1,EconomyAsks,21,0,21,156071,0,156071,0,0,0,0,5,0.000151,0.001088,0,0,5,0,0.218031,JamesWrightLD
2,ThreeWomen_,1,0,1,2031,0,2031,0,0,0,0,5,5.40E-05,7.00E-06,0,0,4,0,0.015587,WilliamPHDyer
3,jonsessions,2,0,2,1115,0,1115,0,0,0,0,104,5.70E-05,2.70E-05,0,0,3,0,0.021348,DanielZeichner
4,andypatmore,3,0,3,777,0,777,0,0,0,0,6,6.50E-05,0.000128,0,0,2,0,0.030759,robertcourts
5,jessfultonn,1,0,1,876,0,876,0,0,0,0,5,5.40E-05,7.00E-06,0,0,1,0,0.015587,Eluned_Parrott
6,angelathompson5,1,0,1,1239,0,1239,0,0,0,0,5,5.40E-05,7.00E-06,0,0,0,0,0.015587,Georgina_Milne
7,JamesWrightLD,0,47,47,0,196394,196394,1,1,1,0,22,4.60E-05,0,0.001145,0,54,0,0,PaulaJaneB
8,RamoneJonny,1,0,1,264,0,264,0,0,0,0,22,4.70E-05,8.20E-05,0,0,53,0,0.005761,MilesGrindey
9,TheVickyMD,1,0,1,26960,0,26960,0,0,0,0,22,4.70E-05,8.20E-05,0,0,52,0,0.005761,joerichards
10,Paul_Furbank,1,0,1,432,0,432,0,0,0,0,22,4.70E-05,8.20E-05,0,0,51,0,0.005761,GillFurnissMP
11,Karin_Krause1,3,0,3,2636,0,2636,0,0,0,0,72,5.20E-05,0.000102,0,0,50,0,0.017283,johnpotterLD
12,cmwheatley56,51,0,51,129296,0,129296,0,0,0,0,75,0.000199,0.004924,0,0,49,0.001176,0.360466,_Peacocks_
