screen_name,RT_pos,RT_neg,negative,positive,device_count_10,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta_10,time_delta,follower,friends,eleted,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity-100,Eccentricity,closnesscentrality-100,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality-100,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,eigencentrality-1000
Termy,0.82565076,0.17434924,0.113926654,0.886073346,190,19,0.162014231,17,0.64583368,296,96.94964423,338.865353,54328,2721.070226,619107,3.99233297,0.399233297,415,540,0,2,6,8,828,12051,12879,100,1,100,1,1,2150,21.5,5,5.40E-05,6.40E-05,9.10E-05,0,6,0,0.019966,19.966
JamesWrightLD,0.134728412,0.865271588,0.333673567,0.666326433,160,16,1.241699867,71,4.302939269,935,124.3545817,162.2895086,39531,1595.21613,122204,9.54787234,0.954787234,738,1427,1,21,0,21,156071,0,156071,0,0,0,0,0,0,0,5,0.000151,0.001088,0,0,5,0,0.218031,218.031
WilliamPHDyer,0.050065969,0.949934031,0.342650928,0.657349072,150,15,0.654066438,57,2.880500478,571,99.05383734,50.64375716,7351,361.0480643,44212,8.32568807,0.832568807,1673,891,0,1,0,1,2031,0,2031,0,0,0,0,0,0,0,5,5.40E-05,7.00E-06,0,0,4,0,0.015587,15.587
DanielZeichner,0.044857529,0.955142471,0.208418815,0.791581185,150,15,6.086156112,1971,40.75444553,16530,124.9885862,75.36487482,33741,937.7301323,204691,2.08471455,0.208471455,5000,4281,1,2,0,2,1115,0,1115,0,0,0,0,0,0,0,104,5.70E-05,2.70E-05,0,0,3,0,0.021348,21.348
robertcourts,0.309935852,0.690064148,0.384356595,0.615643405,150,15,2.134589502,418,15.29291721,4758,126.5437416,122.9376402,16352,591.1594315,274028,3.23608618,0.323608618,5000,3190,0,3,0,3,777,0,777,0,0,0,0,0,0,0,6,6.50E-05,0.000128,0,0,2,0,0.030759,30.759
Eluned_Parrott,0.267873096,0.732126904,0.486377962,0.513622038,140,14,1.040186916,75,3.871447357,2226,115.9775701,664.4490654,544952,12121.8419,1421921,2.78634876,0.278634876,4054,692,1,1,0,1,876,0,876,0,0,0,0,0,0,0,5,5.40E-05,7.00E-06,0,0,1,0,0.015587,15.587
Georgina_Milne,0.281875726,0.718124274,0.082899385,0.917100615,130,13,2.069480519,109,6.212658087,3187,112.7961039,194.5896104,93476,3229.134969,299668,4.73034438,0.473034438,4349,2337,0,1,0,1,1239,0,1239,0,0,0,0,0,0,0,5,5.40E-05,7.00E-06,0,0,0,0,0.015587,15.587
PaulaJaneB,0.15924234,0.84075766,0.009906748,0.990093252,130,13,3.315429173,162,9.249853988,6296,123.0131648,50.64402317,50772,1233.64022,96173,2.1601686,0.21601686,5000,1274,0,0,47,47,0,196394,196394,100,1,100,1,1,0,0,22,4.60E-05,0,0.001145,0,54,0,0,0
MilesGrindey,0.229662621,0.770337379,0.011073464,0.988926536,130,13,0.73046875,50,2.699393989,374,107.15625,305.2324219,23371,1814.32319,156279,14.26614481,1.426614481,937,850,1,1,0,1,264,0,264,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,53,0,0.005761,5.761
joerichards,0.185449253,0.814550747,0.08726601,0.91273399,130,13,1.986979167,719,26.09901693,1526,123.9700521,3373.886719,852016,42454.55876,2591145,8.60495437,0.860495437,693,629,0,1,0,1,26960,0,26960,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,52,0,0.005761,5.761
GillFurnissMP,0.042308045,0.957691955,0.189432359,0.810567641,130,13,3.406056435,426,17.20361897,4949,121.7515485,324.3819683,137590,4070.796608,471327,3.26446281,0.326446281,3659,801,1,1,0,1,432,0,432,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,51,0,0.005761,5.761
johnpotterLD,0.135574308,0.864425692,0.412492958,0.587507042,130,13,0.600885515,83,3.147156057,950,102.7659709,1165.012018,426513,17578.21614,1841884,4.60759494,0.460759494,1384,1428,1,3,0,3,2636,0,2636,0,0,0,0,0,0,0,72,5.20E-05,0.000102,0,0,50,0,0.017283,17.283
_Peacocks_,0.673608764,0.326391236,0.683052093,0.316947907,120,12,0.366812227,56,2.126550575,420,105.4759825,568.9973799,229699,7294.124013,651502,6.33741259,0.633741259,490,1278,1,51,0,51,129296,0,129296,0,0,0,0,0,0,0,75,0.000199,0.004924,0,0,49,0.001176,0.360466,360.466
mikejwood,0.035991135,0.964008865,0.217224551,0.782775449,120,12,2.371316306,996,31.61587417,2414,109.546169,116.3261297,49672,1804.026828,118420,7.03048181,0.703048181,3339,1908,1,6,0,6,208846,0,208846,0,0,0,0,0,0,0,22,6.80E-05,0.00048,0,0,48,0,0.043289,43.289
TommySheppard,0.181329767,0.818670233,0.099544187,0.900455813,120,12,34.5408886,1062,68.12895264,53642,124.5350934,115.5415325,17169,742.9541769,179436,4.69716495,0.469716495,5000,410,1,1,0,1,274,0,274,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,47,0,0.005761,5.761
tracy_harvey,0.12473087,0.87526913,0.802382584,0.197617416,120,12,0.747508306,60,3.667587505,225,107.3322259,203.2259136,46524,2689.832774,61171,23.83333333,2.383333333,1036,1203,1,1,0,1,845,0,845,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,46,0,0.005761,5.761
JudithBuntingLD,0.015495514,0.984504486,0.052247617,0.947752383,120,12,1.66384778,300,7.704787205,3148,119.8165962,103.0940803,72482,1798.974376,195054,0.67689053,0.067689053,2867,3222,0,1,0,1,374,0,374,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,45,0,0.005761,5.761
laylamoran,0.39817892,0.60182108,0.316222214,0.683777786,120,12,3.543859649,172,12.07382136,3838,99.29916898,121.0941828,51810,1859.044024,131145,6.72828096,0.672828096,5000,4324,1,1,0,1,613,0,613,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,44,0,0.005761,5.761
Sandhyamma,0.501401188,0.498598812,0.579028046,0.420971954,120,12,0.201286174,7,0.569310198,313,125.1524116,113.9215434,35085,1260.438252,177148,4.68468468,0.468468468,719,741,0,1,0,1,131,0,131,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,43,0,0.005761,5.761
ClaireforTAY,0.885013865,0.114986135,0.320915272,0.679084728,120,12,1.057799443,76,3.112581469,1519,114.9637883,47.88440111,6220,307.910216,68762,5.08013937,0.508013937,782,728,1,3,0,3,2198,0,2198,0,0,0,0,0,0,0,22,5.30E-05,0.000363,0,0,42,0,0.017283,17.283
racheleden,0.004513058,0.995486942,0.010147725,0.989852275,120,12,1.042211653,46,2.379310716,1753,116.7770511,924.3252081,852017,22429.08213,1554715,4.0035693,0.40035693,3077,2526,0,1,0,1,2025,0,2025,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,41,0,0.005761,5.761
ldmikebell,0.142836992,0.857163008,0.181167415,0.818832585,120,12,0.347826087,12,0.944057876,512,121.0754076,92.99592391,49673,1466.277813,136890,4.25560843,0.425560843,1656,2142,1,2,0,2,7524,0,7524,0,0,0,0,0,0,0,22,5.10E-05,8.30E-05,0,0,40,0,0.016595,16.595
YasminQureshiMP,0.915049775,0.084950225,0.290398428,0.709601572,110,11,7.563970166,596,32.75347001,13184,123.6729776,166.0258176,36498,1369.825832,289383,4.18484501,0.418484501,5000,2375,1,3,0,3,14750,0,14750,0,0,0,0,0,0,0,22,5.80E-05,0.000161,0,0,39,0,0.017283,17.283
MadeleineMoon,0.037043848,0.962956152,0.514162386,0.485837614,110,11,2.593582888,85,5.419494569,3880,124.5975936,313.2914439,410293,10614.94932,468684,4.86956522,0.486956522,5000,903,1,2,0,2,486,0,486,0,0,0,0,0,0,0,43,5.10E-05,9.10E-05,0,0,38,0,0.011522,11.522
CreweLabour,0.24994051,0.75005949,0.102942889,0.897057111,110,11,1.169625247,63,4.220596682,593,97.79487179,100.4871795,7401,503.0708748,50947,12.45059289,1.245059289,865,412,1,1,0,1,183,0,183,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,37,0,0.005761,5.761
ASJSimpson,0.290214707,0.709785293,0.001547483,0.998452517,110,11,0.380546075,35,1.852098812,223,123.0819113,564.3361775,41346,2820.401964,330701,12.29059829,1.229059829,406,193,0,1,0,1,300,0,300,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,36,0,0.005761,5.761
MartynDaySNP,0.510661208,0.489338792,0.138645779,0.861354221,110,11,3.080645161,123,8.669973144,2483,119.3188586,118.1066998,19741,888.8314734,95194,9.01863354,0.901863354,5000,846,0,1,0,1,1378,0,1378,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,35,0,0.005761,5.761
andymstrange,0.095326097,0.904673903,0.233327155,0.766672845,110,11,0.296460177,13,1.328944568,67,78.90707965,3.553097345,259,25.14153413,803,32.04444444,3.204444444,287,334,1,1,0,1,132,0,132,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,34,0,0.005761,5.761
StephenGethins,0.043562903,0.956437097,0.156321633,0.843678367,110,11,5.888770623,447,25.08399676,11065,125.8222459,84.68653539,24738,830.8520394,159126,3.88178914,0.388178914,5000,1971,1,1,0,1,2786,0,2786,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,33,0,0.005761,5.761
AnnelieseDodds,0.69216458,0.30783542,0.048351401,0.951648599,110,11,2.946380697,359,10.42271797,5495,129.6873995,31.2080429,7867,304.0924645,58203,3.91094421,0.391094421,5000,879,0,1,0,1,297,0,297,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,32,0,0.005761,5.761
Telfordlabour,0.358142311,0.641857689,0.182404248,0.817595752,110,11,3.657817109,360,14.0073348,3720,123.0688299,45.96066863,18521,623.3234981,46742,7.17519685,0.717519685,2484,1414,1,1,0,1,631,0,631,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,31,0,0.005761,5.761
dinahkeal,0.150679806,0.849320194,0.279318167,0.720681833,110,11,0.55279831,32,1.756902238,1047,116.8838437,85.02745512,55567,1753.787449,161042,3.85103011,0.385103011,865,1492,0,1,0,1,416,0,416,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,30,0,0.005761,5.761
JoySquires,0.316427354,0.683572646,0.273285937,0.726714063,110,11,1.049512987,29,2.871430549,1293,122.0535714,143.5641234,114953,3308.716301,176871,5.92201462,0.592201462,2122,1287,0,3,0,3,10710,0,10710,0,0,0,0,0,0,0,85,5.30E-05,0.000133,0,0,29,0,0.017283,17.283
MikeKaneMP,0.199884422,0.800115578,0.356636777,0.643363223,110,11,2.756666667,144,7.95770536,5789,123.0533333,77.59142857,42609,1096.917862,162942,3.47308242,0.347308242,5000,2223,0,1,0,1,38,0,38,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,28,0,0.005761,5.761
callum_mccaig,0.076577281,0.923422719,0.215173167,0.784826833,100,10,15.65978672,5170,119.6188715,45523,114.8861369,712.7774338,338544,9236.366861,2072044,2.50860289,0.250860289,5000,1108,1,1,0,1,1375,0,1375,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,27,0,0.005761,5.761
LabourMarina,0.052603331,0.947396669,0.189432359,0.810567641,100,10,0.907990315,22,2.439503862,1125,122.2243745,192.8531073,32666,1367.11202,238945,5.51696284,0.551696284,974,464,1,1,0,1,474,0,474,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,26,0,0.005761,5.761
NickGibbUK,0.138618283,0.861381717,0.044797203,0.955202797,100,10,7.839443742,244,18.43341828,6201,118.6396966,24.01517067,4987,217.5552121,18996,9.21518987,0.921518987,5000,1352,1,1,0,1,180,0,180,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,25,0,0.005761,5.761
PeterThornton10,0.066074861,0.933925139,0.333673567,0.666326433,100,10,0.34084507,17,0.994856839,605,97.45014085,1050.557183,426511,14537.17456,1864739,2.01240135,0.201240135,649,294,0,1,0,1,1870,0,1870,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,24,0,0.005761,5.761
EmmaWhysall,0.549363647,0.450636353,0.145183311,0.854816689,100,10,0.778217822,76,4.08236012,786,112.3980198,2120.865347,852010,34657.88513,2142074,7.21506442,0.721506442,1075,855,1,1,0,1,1364,0,1364,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,23,0,0.005761,5.761
