screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
Termy,19,0.162014231,17,0.64583368,296,96.94964423,338.865353,54328,2721.070226,619107,0.399233297,415,540,0
JamesWrightLD,16,1.241699867,71,4.302939269,935,124.3545817,162.2895086,39531,1595.21613,122204,0.954787234,738,1427,1
WilliamPHDyer,15,0.654066438,57,2.880500478,571,99.05383734,50.64375716,7351,361.0480643,44212,0.832568807,1673,891,0
DanielZeichner,15,6.086156112,1971,40.75444553,16530,124.9885862,75.36487482,33741,937.7301323,204691,0.208471455,5000,4281,1
robertcourts,15,2.134589502,418,15.29291721,4758,126.5437416,122.9376402,16352,591.1594315,274028,0.323608618,5000,3190,0
Eluned_Parrott,14,1.040186916,75,3.871447357,2226,115.9775701,664.4490654,544952,12121.8419,1421921,0.278634876,4054,692,1
Georgina_Milne,13,2.069480519,109,6.212658087,3187,112.7961039,194.5896104,93476,3229.134969,299668,0.473034438,4349,2337,0
PaulaJaneB,13,3.315429173,162,9.249853988,6296,123.0131648,50.64402317,50772,1233.64022,96173,0.21601686,5000,1274,0
MilesGrindey,13,0.73046875,50,2.699393989,374,107.15625,305.2324219,23371,1814.32319,156279,1.426614481,937,850,1
joerichards,13,1.986979167,719,26.09901693,1526,123.9700521,3373.886719,852016,42454.55876,2591145,0.860495437,693,629,0
GillFurnissMP,13,3.406056435,426,17.20361897,4949,121.7515485,324.3819683,137590,4070.796608,471327,0.326446281,3659,801,1
johnpotterLD,13,0.600885515,83,3.147156057,950,102.7659709,1165.012018,426513,17578.21614,1841884,0.460759494,1384,1428,1
_Peacocks_,12,0.366812227,56,2.126550575,420,105.4759825,568.9973799,229699,7294.124013,651502,0.633741259,490,1278,1
mikejwood,12,2.371316306,996,31.61587417,2414,109.546169,116.3261297,49672,1804.026828,118420,0.703048181,3339,1908,1
TommySheppard,12,34.5408886,1062,68.12895264,53642,124.5350934,115.5415325,17169,742.9541769,179436,0.469716495,5000,410,1
tracy_harvey,12,0.747508306,60,3.667587505,225,107.3322259,203.2259136,46524,2689.832774,61171,2.383333333,1036,1203,1
JudithBuntingLD,12,1.66384778,300,7.704787205,3148,119.8165962,103.0940803,72482,1798.974376,195054,0.067689053,2867,3222,0
laylamoran,12,3.543859649,172,12.07382136,3838,99.29916898,121.0941828,51810,1859.044024,131145,0.672828096,5000,4324,1
Sandhyamma,12,0.201286174,7,0.569310198,313,125.1524116,113.9215434,35085,1260.438252,177148,0.468468468,719,741,0
ClaireforTAY,12,1.057799443,76,3.112581469,1519,114.9637883,47.88440111,6220,307.910216,68762,0.508013937,782,728,1
racheleden,12,1.042211653,46,2.379310716,1753,116.7770511,924.3252081,852017,22429.08213,1554715,0.40035693,3077,2526,0
ldmikebell,12,0.347826087,12,0.944057876,512,121.0754076,92.99592391,49673,1466.277813,136890,0.425560843,1656,2142,1
YasminQureshiMP,11,7.563970166,596,32.75347001,13184,123.6729776,166.0258176,36498,1369.825832,289383,0.418484501,5000,2375,1
MadeleineMoon,11,2.593582888,85,5.419494569,3880,124.5975936,313.2914439,410293,10614.94932,468684,0.486956522,5000,903,1
CreweLabour,11,1.169625247,63,4.220596682,593,97.79487179,100.4871795,7401,503.0708748,50947,1.245059289,865,412,1
ASJSimpson,11,0.380546075,35,1.852098812,223,123.0819113,564.3361775,41346,2820.401964,330701,1.229059829,406,193,0
MartynDaySNP,11,3.080645161,123,8.669973144,2483,119.3188586,118.1066998,19741,888.8314734,95194,0.901863354,5000,846,0
andymstrange,11,0.296460177,13,1.328944568,67,78.90707965,3.553097345,259,25.14153413,803,3.204444444,287,334,1
StephenGethins,11,5.888770623,447,25.08399676,11065,125.8222459,84.68653539,24738,830.8520394,159126,0.388178914,5000,1971,1
AnnelieseDodds,11,2.946380697,359,10.42271797,5495,129.6873995,31.2080429,7867,304.0924645,58203,0.391094421,5000,879,0
Telfordlabour,11,3.657817109,360,14.0073348,3720,123.0688299,45.96066863,18521,623.3234981,46742,0.717519685,2484,1414,1
dinahkeal,11,0.55279831,32,1.756902238,1047,116.8838437,85.02745512,55567,1753.787449,161042,0.385103011,865,1492,0
JoySquires,11,1.049512987,29,2.871430549,1293,122.0535714,143.5641234,114953,3308.716301,176871,0.592201462,2122,1287,0
MikeKaneMP,11,2.756666667,144,7.95770536,5789,123.0533333,77.59142857,42609,1096.917862,162942,0.347308242,5000,2223,0
callum_mccaig,10,15.65978672,5170,119.6188715,45523,114.8861369,712.7774338,338544,9236.366861,2072044,0.250860289,5000,1108,1
LabourMarina,10,0.907990315,22,2.439503862,1125,122.2243745,192.8531073,32666,1367.11202,238945,0.551696284,974,464,1
NickGibbUK,10,7.839443742,244,18.43341828,6201,118.6396966,24.01517067,4987,217.5552121,18996,0.921518987,5000,1352,1
PeterThornton10,10,0.34084507,17,0.994856839,605,97.45014085,1050.557183,426511,14537.17456,1864739,0.201240135,649,294,0
EmmaWhysall,10,0.778217822,76,4.08236012,786,112.3980198,2120.865347,852010,34657.88513,2142074,0.721506442,1075,855,1
gregjudge,10,0.288836846,30,1.470800991,370,119.7174083,606.1857923,189911,7608.304424,776524,0.56953125,1484,1792,0
chhcalling,10,5.346596357,1027,28.08083465,11153,111.3897411,57.30057526,44560,1013.228396,119529,0.332853717,5000,141,1
AlanUkip,10,0.986260454,171,5.702222627,1651,103.4671446,48.00119474,6330,286.9895947,80354,0.4321578,867,88,1
HugoSwire,10,6.771766169,741,25.95524801,10889,121.2493781,198.5248756,225279,5634.162352,319228,0.394523958,5000,877,1
PaulMcGarryUK,10,0.703947368,104,3.672751996,642,113.6381579,78.35855263,20936,855.3838933,71463,0.788144896,5000,3233,1
Hitesh_T,10,0.450671337,31,1.573288733,772,126.2311734,1842.052539,852014,27606.2791,3155436,0.269275701,2393,3472,1
IanMurrayMP,10,15.42356021,2194,70.72852879,29459,122.9481675,271.0314136,166942,4090.946926,517670,0.381875327,5000,2562,1
mwinnington,10,0.581880051,39,1.680066547,1368,124.5274351,249.386644,159053,3574.131215,586308,0.309361702,717,350,0
jeremy4glos,10,0.427832628,28,1.417977182,910,116.9069111,189.0973202,166927,3938.773814,402210,0.34289746,731,612,1
juliejonesevans,10,0.619047619,11,1.342670426,689,112.8661276,45.79874214,13766,595.8351941,50974,0.654676259,884,650,1
mthrel,10,0.982625483,98,3.450750286,1527,110.7863578,148.7927928,114823,3095.091006,231224,0.469414037,2312,1903,0
Bobby_Dean,10,1.21364047,103,3.821677109,2687,105.4467028,61.3369467,51811,1212.931008,135800,0.329417081,1502,1741,1
rheawolfson,10,24.00843882,1409,98.48535591,28450,109.9586498,185.5729958,38841,1641.395805,219904,0.612331081,5000,2923,1
mpntod,10,0.486058302,47,2.285429863,767,117.734474,3734.146388,3622845,91871.80367,5892483,0.298034242,3669,3510,1
AledMorganH,10,1.62586852,86,5.003264993,3042,107.2816676,490.9834313,188558,6617.15388,918630,0.252941176,1590,1484,1
sarahjolney1,10,32.04014273,4081,163.2342635,35917,114.3728814,206.5611062,37973,1760.165889,231555,0.485714286,5000,626,0
RykDownes,10,0.260495156,37,1.449902626,242,97.41550054,180.5037675,121018,4022.259859,167688,0.782327586,679,442,1
Mark_Spencer,10,1.28331467,144,5.824161109,1146,121.7480403,56.02799552,10638,479.3820798,50033,0.817264574,5000,867,1
sheryllmurray,10,4.52557673,1209,40.43979139,4512,115.4353059,48.69508526,11205,394.5074317,48549,0.731927711,5000,372,0
jordslw,10,0.409682081,79,2.52655124,567,91.8699422,136.5830925,169388,4553.104808,189031,0.525668836,328,379,0
DanielMNorton,10,0.133168927,10,0.671433819,108,127.7768187,685.3094945,229701,8412.712268,555786,0.881481481,261,449,1
lucyvsalek,10,0.484340045,76,3.411436346,866,124.4608501,443.3104027,105067,3629.033074,792639,0.125909345,2437,2300,0
margot_james_mp,10,3.696139477,164,8.682360557,5936,122.0591532,29.43524284,6111,253.8131719,47273,0.454205607,5000,1140,1
KateGreenSU,10,4.74807396,214,12.77295571,6163,117.5215716,76.46841294,10933,472.4206924,99256,0.242868157,5000,1407,0
NewhamGreens,10,0.464746773,29,1.793317207,468,123.4419067,508.8301887,150382,6576.813745,512392,0.720675944,1276,1082,1
cllrccarubia,10,0.174855491,7,0.535595871,363,110.5428709,468.9214836,227797,6111.457887,973481,0.351325301,226,116,1
margarethodge,9,5.22907489,109,12.09350892,3561,121.3113069,9.374449339,424,23.4528776,6384,1.072058824,5000,1345,1
SteMorris,9,0.253676471,16,1.027196935,276,119.0909926,162.3740809,50472,1856.846026,176663,0.331186753,659,245,1
simonfell,9,0.930362117,34,2.165993859,1336,102.8850975,50.9045961,10089,362.6253793,73099,0.507317073,727,770,1
WarrenLFox,9,0.886654479,39,2.26489487,970,96.20749543,18.78793419,8945,291.5697928,20554,0.666971638,1866,2467,0
PaulforMP,9,0.340046476,18,1.487286582,439,124.8334624,601.3415957,106799,4830.363491,776332,0.565116279,315,230,1
shales73,9,0.388117712,74,2.158323341,699,121.6851749,454.5363687,185216,5353.154102,818620,0.404444444,686,1133,1
DNuttall,9,4.630208333,1105,57.9429382,1778,114.2395833,97.75,10638,701.3930632,37536,1.874673629,5000,760,1
AndrewCreak,9,0.558052434,24,1.82917491,596,106.7368914,82.28745318,35928,1367.801378,87883,0.682286785,597,925,1
MartinChelt,9,2.61596599,287,9.549977441,5538,116.2701937,719.7557865,410289,11291.95411,1523723,0.327504726,5000,5000,1
AndyD_Newman,9,0.324189526,107,2.975036912,780,123.0399002,358.9596841,218523,4695.387433,863657,0.303118503,1830,1594,1
JenniferBrathwa,9,1.606034483,44,3.180619892,1863,123.6387931,25.28362069,15501,506.3644504,29329,0.627264884,2078,94,0
InclusionQuery,9,0.094827586,7,0.68201588,11,82.5,1.301724138,83,8.283989364,151,5.92173913,243,172,0
