screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
Termy,11,0.228316327,9,0.675869977,179,98.2627551,531.8915816,50803,3482.250056,417003,0.454661558,415,540,0
JamesWrightLD,11,1.597374179,71,5.266615231,730,125.2122538,259.4070022,39531,2040.763974,118549,0.802631579,738,1427,1
WilliamPHDyer,6,0.9825,57,4.105751302,393,103.815,57.15,5668,343.9473325,22860,0.909774436,1673,891,0
DanielZeichner,13,7.387008734,1971,49.2370869,13533,125.709607,97.65720524,33741,1127.869782,178908,0.19989077,5000,4281,1
robertcourts,14,5.711302211,418,24.89681793,4649,126.3759214,103.8243243,10638,622.2669836,84513,0.450184502,5000,3190,0
Eluned_Parrott,11,1.075287865,75,4.220096227,1214,115.105403,1247.664305,544952,16666.77842,1408613,0.324468085,4054,692,1
Georgina_Milne,9,3.423868313,109,8.994589495,1664,116.3703704,567.1851852,93476,5705.81829,275652,0.754639175,4349,2337,0
PaulaJaneB,12,3.576716418,162,9.707940801,5991,123.5301493,52.42686567,50772,1306.888277,87815,0.218637993,5000,1274,0
MilesGrindey,12,0.964968153,50,3.328421639,303,105.6210191,380.3566879,23371,2126.572616,119432,1.146964856,937,850,1
joerichards,5,2.244377811,719,27.99483692,1497,124.8110945,3879.68066,852016,45534.18729,2587747,0.515015015,693,629,0
GillFurnissMP,12,3.144026187,426,16.59275993,3842,122.3747954,380.586743,137590,4436.40239,465077,0.2997543,3659,801,1
johnpotterLD,7,0.743648961,83,3.749840654,644,101.4307159,2074.899538,426513,23704.54241,1796863,0.423121387,1384,1428,1
_Peacocks_,10,0.398969072,56,2.296254002,387,104.9082474,666.9969072,229699,7920.268368,646987,0.376676987,490,1278,1
mikejwood,9,2.902245707,996,36.61526138,2197,106.6856011,117.0805812,49672,1838.411674,88630,0.470899471,3339,1908,1
TommySheppard,9,34.4230303,648,66.36078947,28399,126.3333333,125.5236364,11464,666.6152202,103557,0.444174757,5000,410,1
tracy_harvey,9,0.632478632,9,1.544763919,74,103.2820513,454.9316239,46524,4296.879257,53227,3.129310345,1036,1203,1
JudithBuntingLD,12,1.66384778,300,7.704787205,3148,119.8165962,103.0940803,72482,1798.974376,195054,0.067689053,2867,3222,0
laylamoran,8,4.65379494,172,14.30260685,3495,97.84687084,123.4034621,51810,1964.653945,92676,0.488,5000,4324,1
Sandhyamma,7,0.351265823,7,0.787580604,111,126.4208861,224.6012658,25551,1638.33617,70974,1.158730159,719,741,0
ClaireforTAY,11,1.519913886,76,3.757716366,1412,113.7018299,70.5737352,6220,378.3030736,65563,0.393318966,782,728,1
racheleden,10,1.278543307,46,2.866136155,1299,114.0364173,1515.21063,852017,28842.90922,1539454,0.359605911,3077,2526,0
ldmikebell,10,0.428746929,12,1.052297896,349,121.6191646,151.1498771,49673,1965.406576,123036,0.450184502,1656,2142,1
YasminQureshiMP,9,9.885647608,596,41.62524918,8472,125.378063,218.2462077,36498,1686.589893,187037,0.427570093,5000,2375,1
MadeleineMoon,6,3.588845655,85,6.771675969,2767,125.1309987,594.2581064,410293,14779.81841,458173,0.475324675,5000,903,1
CreweLabour,4,3.821138211,63,7.84404131,470,124.4552846,135.3739837,7401,741.4343975,16651,2.975409836,865,412,1
ASJSimpson,11,0.389413989,35,1.889069503,206,123.3553875,620.8922495,41346,2962.812482,328452,0.691287879,406,193,0
MartynDaySNP,9,3.589820359,123,11.31249182,1199,119.5778443,181.7335329,19741,1222.212582,60699,1.09009009,5000,846,0
andymstrange,7,0.636363636,13,2.057037909,49,89.25974026,4.103896104,259,29.27992283,316,4.710526316,287,334,1
StephenGethins,7,8.189670525,447,31.63908502,9197,127.3775601,101.09439,20175,779.5641212,113529,0.326203209,5000,1971,1
AnnelieseDodds,6,4.292343387,359,14.77771608,3700,130.9234339,42.35382831,7364,347.9649806,36509,0.423925668,5000,879,0
Telfordlabour,5,3.708748616,360,14.38362244,3349,123.7929125,47.67884828,18521,658.5625129,43054,0.394678492,2484,1414,1
dinahkeal,8,0.68847352,32,2.024394851,663,120.2201454,159.2627207,55567,2457.033339,153370,0.379417879,865,1492,0
JoySquires,9,1.151474531,29,3.171142371,859,122.9436997,234.4289544,114953,4249.552311,174884,0.489932886,2122,1287,0
MikeKaneMP,4,4.226652676,144,10.85307018,4028,123.3084995,135.1920252,42609,1616.93838,128838,0.384453782,5000,2223,0
callum_mccaig,7,20.0751992,5170,143.2529413,40311,116.0737052,1003.060259,338544,11099.18769,2014145,0.182361734,5000,1108,1
LabourMarina,6,0.889121339,19,2.243131511,425,116.9037657,458.1276151,32666,2165.941608,218985,0.752620545,974,464,1
NickGibbUK,7,9.970515971,186,19.37865579,4058,115.2874693,37.57002457,4987,301.8757809,15291,0.901477833,5000,1352,1
PeterThornton10,10,0.34084507,17,0.994856839,605,97.45014085,1050.557183,426511,14537.17456,1864739,0.201240135,649,294,0
EmmaWhysall,8,1.151986183,76,5.278205787,667,111.134715,3641.107081,852010,45712.68113,2108201,0.633217993,1075,855,1
gregjudge,8,0.29375,13,1.124148984,94,120.990625,1351.296875,166944,10473.76501,432415,1.147335423,1484,1792,0
chhcalling,8,7.761396702,1027,38.45287975,8002,109.9631426,99.51115422,44560,1432.640273,102596,0.355339806,5000,141,1
AlanUkip,6,1.31243973,171,7.137766069,1361,103.6673095,59.85920926,6330,346.863446,62074,0.3503861,867,88,1
HugoSwire,6,4.20979021,443,19.59467596,3612,118.7750583,348.2505828,225279,7708.319964,298799,0.427071179,5000,877,1
PaulMcGarryUK,5,1.031784841,104,5.345424385,422,114.200489,91.52811736,6882,646.6044768,37435,0.875,5000,3233,1
Hitesh_T,9,0.466153846,31,1.577122689,606,125.83,2328.229231,852014,31625.49108,3026698,0.281755196,2393,3472,1
IanMurrayMP,7,21.70540265,2194,96.75031634,21293,123.9520897,494.2680938,166942,5694.38914,484877,0.373469388,5000,2562,1
mwinnington,9,0.716872428,39,2.103613218,871,125.4304527,394.854321,159053,4836.305504,479748,0.301482702,717,350,0
jeremy4glos,7,0.515151515,28,1.591776717,595,115.4597403,312.9800866,166927,5322.318283,361492,0.317157712,731,612,1
juliejonesevans,6,0.705797101,11,1.466177526,487,112.5811594,66.05507246,13766,753.016242,45578,0.529753266,884,650,1
mthrel,7,1.138790036,98,4.400846673,960,107.886121,241.3701068,114823,4180.826737,203475,0.433491686,2312,1903,0
Bobby_Dean,6,1.64657308,103,4.542008097,1994,107.7349298,81.76548307,51811,1564.328494,99018,0.302479339,1502,1741,1
rheawolfson,6,37.13807531,1409,124.3485413,26628,110.3500697,294.1520223,38841,2100.700251,210907,0.511173184,5000,2923,1
mpntod,8,0.439726027,47,2.12739726,642,117.7561644,4027.810959,3622845,95505.97488,5880604,0.250856751,3669,3510,1
AledMorganH,9,1.411047346,86,5.20935244,1967,108.2575323,649.6018651,188558,7658.615045,905545,0.262742283,1590,1484,1
sarahjolney1,9,34.33365201,4081,168.7522496,35913,113.9235182,215.4244742,37973,1820.650917,225334,0.348325359,5000,626,0
RykDownes,8,0.238970588,37,1.68084681,130,97.16360294,306.5386029,121018,5252.630071,166757,0.674033149,679,442,1
Mark_Spencer,7,2.357954545,144,9.012758906,830,119.0681818,118.2102273,10638,743.8899037,41610,1.042735043,5000,867,1
sheryllmurray,5,5.616929699,1209,48.11927314,3915,112.2525108,61.50932568,11205,456.751888,42872,0.525862069,5000,372,0
jordslw,6,0.516666667,79,4.083469385,248,81.13541667,378.7541667,169388,7725.076273,181802,0.764091858,328,379,0
DanielMNorton,5,0.130434783,10,0.673307135,99,127.9920949,728.6627141,229701,8694.321575,553055,0.476253298,261,449,1
lucyvsalek,10,0.484340045,76,3.411436346,866,124.4608501,443.3104027,105067,3629.033074,792639,0.125909345,2437,2300,0
margot_james_mp,8,4.608695652,164,9.761678092,4240,121.4532609,42.25,6111,329.10816,38870,0.398258977,5000,1140,1
KateGreenSU,10,4.74807396,214,12.77295571,6163,117.5215716,76.46841294,10933,472.4206924,99256,0.242868157,5000,1407,0
NewhamGreens,9,0.628841608,29,2.345322861,266,121.5460993,1124.903073,150382,10096.78576,475834,0.867298578,1276,1082,1
cllrccarubia,6,0.176250934,7,0.558995137,236,113.970127,663.9044063,227797,7573.729174,888968,0.273542601,226,116,1
margarethodge,5,4.988372093,108,11.83231764,2574,122.4166667,9.385658915,424,24.77324505,4843,0.708737864,5000,1345,1
SteMorris,9,0.253676471,16,1.027196935,276,119.0909926,162.3740809,50472,1856.846026,176663,0.331186753,659,245,1
simonfell,8,1.354265403,34,2.661618242,1143,101.3649289,70.50829384,10089,445.0640922,59509,0.434163701,727,770,1
WarrenLFox,5,1.320490368,39,2.930111282,754,100.6549912,27.44308231,8945,387.6446205,15670,0.642105263,1866,2467,0
PaulforMP,7,0.460299194,18,1.77499585,400,123.70771,793.8883774,106799,5817.149575,689889,0.420506912,315,230,1
shales73,7,0.49122807,74,2.646933761,504,124.2894737,689.5730994,185216,7044.657718,707502,0.357073171,686,1133,1
DNuttall,7,7.39380531,1105,75.39377311,1671,115.8141593,160.1017699,10638,908.7826455,36183,1.6,5000,760,1
AndrewCreak,6,0.613157895,24,2.034009658,233,115.75,205.7184211,35928,2285.506228,78173,0.963060686,597,925,1
MartinChelt,7,3.001336005,287,11.0462076,4493,117.6192385,1005.087508,410289,13416.59607,1504616,0.244652406,5000,5000,1
AndyD_Newman,6,0.45194274,107,4.382321955,442,122.5501022,686.3282209,218523,7244.093107,671229,0.374616172,1830,1594,1
JenniferBrathwa,8,1.942068966,44,3.704902046,1408,124.8551724,36.8137931,15501,637.873188,26690,0.505524862,2078,94,0
InclusionQuery,5,0.074074074,1,0.2618914,2,65.66666667,1.296296296,33,6.223103994,35,13.46153846,243,172,0
elis_wilson,8,0.374670185,8,0.983769115,142,125.2163588,389.2717678,46893,3030.024136,147534,0.96031746,139,53,0
carlminns,9,0.479031305,64,1.998301939,811,93.30773774,249.6432369,79333,2456.324619,422646,0.216312057,2431,1146,1
GonulDaniels,7,3.165884194,51,5.81945583,2023,111.9405321,33.36619718,3992,218.846522,21321,0.573667712,2028,2564,0
CliveEfford,7,8.273504274,352,22.90658246,5808,123.4273504,98.84188034,18521,855.8768229,69387,0.52211127,5000,2506,1
fivanmierlo,5,1.344059406,48,3.363746638,543,112.2277228,9412.544554,3622825,180018.5355,3802668,0.893300248,436,850,1
GreenbankGreens,6,0.233766234,25,1.220577278,234,127.3806194,190.6843157,15254,882.2066649,190875,0.358,638,547,0
GradySNP,7,8.723728814,473,23.33455893,15441,128.4361582,253.6553672,229702,5521.16983,448970,0.206896552,5000,3233,0
AlexSalmond,8,206.1333333,59855,2115.389939,166968,124.3135802,179.245679,22057,856.5035355,145189,0.452410383,5000,671,1
Meg_HillierMP,5,5.544097693,206,16.65129708,4086,126.1411126,109.9592944,18521,1105.423611,81040,0.495923913,5000,4786,1
holliedevanney,7,1.616352201,162,9.878591346,771,113.1174004,208.3584906,22909,1362.585865,99387,0.716386555,908,779,1
JoyceOnstad,8,1.27700831,92,5.379838007,461,112.0083102,53.20498615,4960,327.1185153,19207,1.008333333,568,816,1
flynnhc,8,0.938906752,31,2.82435391,1168,125.5313505,761.1053055,410285,12160.45141,946815,0.288012872,1440,812,1
bernardjenkin,7,7.534418023,424,25.49079697,6020,118.3516896,124.9186483,36496,1309.85705,99810,0.458646617,5000,576,0
johnmcdonnellMP,9,178.1212121,11555,549.4338264,293900,131.7490909,553.1915152,25435,1563.699822,912766,0.221952699,5000,5000,0
jon_trickett,6,37.99351492,1454,111.765881,29293,107.4332036,294.1452659,50530,2140.214876,226786,0.472727273,5000,788,0
clrandrewcooper,8,2.569259962,144,7.726248665,2708,110.4497154,158.93074,42976,1970.813346,167513,0.347578348,3503,1078,1
LouiseEllman,6,21.97979798,507,59.69078229,2176,119.4949495,98.65656566,5592,566.3884016,9767,3.714285714,5000,581,0
StephenTwigg,7,6.982692308,420,20.76275531,7262,126.0115385,228.4009615,80502,3561.17602,237537,0.351299326,5000,3654,1
AndyMcDonaldMP,6,18.23175966,1018,75.54260046,8496,128.3004292,228.8733906,42436,2119.269275,106655,0.787096774,5000,1389,0
andreajenkyns,8,8.637949836,625,28.4518342,7921,119.0577972,32.89094875,11205,407.7376783,30161,0.398471616,5000,2353,1
crimicans98,3,2.874396135,129,11.63758992,595,106.0821256,5343.289855,852015,60811.772,1106061,1.77184466,942,553,0
Drew1403,4,0.518821604,28,2.03831288,317,112.1227496,511.0589198,114954,4808.056479,312257,0.598360656,594,1056,1
green_mac,8,0.936790924,67,3.353929176,578,115.3111831,419.9254457,51810,3350.856461,259094,0.590909091,1078,983,1
kevcow,6,0.677325581,44,2.26010852,466,90.40406977,101.2965116,23086,1069.022544,69692,0.532751092,1368,558,1
Neil4Preston,8,0.463556851,18,1.539844433,159,101.2303207,286.483965,29287,1916.208325,98264,1.070175439,1163,1266,1
McCargo,5,0.198113208,6,0.620708836,63,104.0786164,581.581761,68998,4609.252538,184943,1.151419558,591,1353,1
DomesticBits,6,0.587096774,12,1.121368769,273,107.8731183,608.4924731,89099,5034.831841,282949,0.784482759,1176,3474,0
darrenpaffey,8,1.454863133,565,13.98596834,2498,123.5678509,476.3389633,142896,4267.885147,817874,0.213286713,1910,1030,1
jeanmedavis,7,0.483762598,12,1.067180437,432,112.7805151,1190.805151,852015,28931.21608,1063389,0.410313901,508,142,0
sue_mcguire,6,1.413685848,116,5.821871077,909,114.9486781,196.0326594,36638,2233.521803,126049,0.568535826,1298,1096,1
UKIPRedvers,6,1.236760125,61,4.899299407,794,115.2180685,125.7133956,12196,775.8275707,80708,0.569422777,1792,1571,1
MarieRimmer,6,4.615384615,105,12.03008064,1500,127.6953846,69.77230769,9149,624.1846353,22676,1.12962963,5000,652,1
georgenturner,9,9.071723001,695,40.2857964,11004,104.4295136,177.86892,33778,1615.40055,215755,0.092409241,5000,1272,0
Molly4Wstow,4,0.299412916,10,0.982418661,153,82.22896282,15.44422701,4061,191.5893672,7892,0.707843137,772,416,1
NigelQuinton,9,0.470978441,31,2.079769937,284,116.4610282,712.3432836,112883,5506.593487,429543,0.607973422,516,375,0
JaneBrophyLD,6,2.022222222,345,11.75245621,3367,120.3363363,75.56816817,60341,1501.779626,125821,0.219350962,1752,916,1
IanMiddletonX,8,0.670299728,50,2.376718519,492,113.2438692,153.2970027,14826,914.4313976,112520,0.141882674,3391,1705,0
kev927riddy,5,0.201501877,9,0.730660714,161,111.8848561,21.73717146,4898,196.8148969,17368,0.458646617,1172,2195,0
Marshadecordova,6,1.657111356,160,8.346173531,1503,116.6560088,1753.135612,852021,29380.59502,1590094,0.40397351,5000,2004,1
John2Win,6,6.759951749,758,34.59490243,5604,117.5186972,521.8082027,339727,11808.59734,432579,0.442028986,5000,1483,1
AllanBrame,8,0.163934426,5,0.557101461,70,109.5316159,310.587822,52151,2607.682239,132621,0.856807512,162,250,0
ShabanaMahmood,4,1.905008636,71,6.428533043,1103,122.343696,4261.295337,852020,40233.32412,2467290,0.631487889,5000,579,0
Kate_HollernMP,7,2,194,12.26406977,1188,127.3804714,672.2979798,27471,2366.574468,399345,0.613827993,5000,2037,1
Chris4BNC,4,5.153940887,233,14.75671999,4185,118.8719212,1923.623153,676286,32251.42448,1561982,0.451294698,2227,592,0
fozziebecs,7,0.811424639,106,4.898721714,1179,114.827254,380.0894701,56543,2477.493916,552270,0.241046832,597,573,1
Tobias_Ellwood,8,26.68710089,2787,149.3050412,20896,133.3908046,242.7228608,76737,2821.464008,190052,0.466751918,5000,572,1
darrenpjones,4,2.910714286,50,4.880513192,978,105.7946429,3059.279762,852018,46938.12842,1027918,1.089552239,5000,2994,1
IvanLewis_MP,5,7.074581431,149,13.70772014,4648,124.7625571,63.94672755,7300,498.1921978,42013,0.557926829,5000,2620,0
NeilUKIP,7,3.448177269,202,10.36785848,4824,110.5654039,122.5303788,49673,1571.505623,171420,0.261802575,5000,5000,1
AdamVanChelt,8,1.079555175,82,4.002950299,1262,107.219846,568.7502139,150383,6140.475498,664869,0.313356164,1983,3818,1
GillianKeegan,6,1.799171843,58,4.598928597,869,128.815735,49.19047619,8653,420.6294615,23759,0.755186722,3321,626,0
DebWiseUnger,6,0.386032233,29,1.55750006,503,120.5310821,879.6876439,227801,9649.908147,1146233,0.281105991,676,502,1
LindsayHoyle_MP,7,12.54071661,275,19.34078416,7700,114.3159609,19.54071661,4895,213.0715058,11998,0.5954323,5000,1865,0
ChrisM4Chester,6,3.944680851,108,11.71401794,927,113.5617021,88.8,7348,578.0139791,20868,1.564102564,5000,897,1
PhilBoswellSNP,5,5.869668246,432,23.24044072,2477,124.7274882,386.4454976,129077,6284.115378,163080,0.86935867,4347,1221,0
simonjcope,7,0.652388797,13,1.496648665,396,118.6573311,589.5749588,117996,6425.066817,357872,0.602310231,940,1577,1
DougChapmanSNP,8,5.669254658,375,18.27734704,7302,124.6979814,122.5954969,21966,848.4480902,157903,0.22999223,5000,3919,0
cara_hilton,8,1.735559567,132,6.371013934,1923,128.4422383,1137.876354,676290,20444.65086,1260767,0.330623306,4465,3746,1
isogrant,7,0.1565,11,0.749004506,313,122.927,295.9925,86877,2796.64015,591985,0.182591296,920,730,1
SamGyimah,8,5.19523269,314,17.31993203,4577,119.8887628,265.7048808,56387,2208.612923,234086,0.415909091,5000,2025,1
StephenLloydEBN,2,4.023622047,109,9.87318373,1022,129.5314961,27.1496063,3704,243.7079729,6896,1.355731225,4819,1461,1
joanryanEnfield,6,3.369791667,92,7.540600106,2588,125.3151042,1307.526042,852016,30799.34375,1004180,0.477183833,5000,805,1
LanaHylands,6,0.917721519,13,2.082066859,290,127.7816456,1137.892405,69386,6200.518876,359574,1.158730159,441,1643,1
HounslowGreens,6,0.243093923,9,0.780649494,88,114.6961326,96.27348066,11444,647.6335288,34851,1.008310249,839,1336,0
hinamalik85,8,0.615819209,35,1.513048779,1308,88.41713748,219.4811676,410289,8917.76461,466178,0.172397551,943,264,1
decombustion,6,1.592560554,46,3.920169655,1841,121.8702422,296.216263,169389,5154.190057,342426,0.314285714,1532,1003,0
Jeremy_Newmark,8,1.363573407,357,10.98488397,1969,127.8455679,199.5027701,67257,2267.231161,288082,0.133056133,5000,2955,0
DamianCollins,7,2.53797964,138,7.330619748,3241,124.0078309,119.2223962,40378,1384.328623,152247,0.286833856,5000,5000,0
Altany,8,0.310958118,18,1.030643706,542,114.4549627,219.0711417,97327,2715.98028,381841,0.209529277,2759,3061,1
barriefairbairn,6,0.28125,6,0.847215107,36,89.5703125,548.3984375,31673,3206.476859,70195,2.881889764,269,726,0
DaveRaval,7,0.756017505,60,3.27623094,691,113.9846827,384.7888403,20802,1725.433953,351697,0.397590361,1180,1231,0
JamesMorris,7,5.339712919,376,26.71405203,1116,119.2679426,16.5215311,1048,89.77660081,3453,1.740384615,5000,1847,1
HollyLynch5,5,11.70712909,3334,105.6697375,12152,126.2447013,364.6955684,338552,10507.86387,378554,0.352941176,5000,1842,1
dianapwallis,5,0.659722222,24,1.886955199,475,113.5069444,225.8333333,21873,1523.078936,162600,0.506258693,1858,1181,0
EmmaJaneWallace,5,0.31196984,32,1.632532706,331,128.5325165,1327.384543,116401,6333.354844,1408355,0.340566038,625,1269,1
horshamlabour,7,0.846153846,39,2.689742368,858,126.7268245,267.004931,31675,1312.610032,270743,0.360315893,436,181,1
bkatenga,4,0.342995169,7,1.037107048,71,95.03864734,248.4879227,36497,2650.545294,51437,1.718446602,146,139,1
stormpoorun,6,0.55,21,1.620007122,143,122.7,117.7346154,15524,1046.463981,30611,1.413127413,1023,2341,1
vickyfoxcroft,7,5.637961336,539,26.32490718,3208,122.2741652,88.54481547,14491,685.0899305,50382,0.642605634,5000,2048,0
StephPitchers,7,0.306561086,82,2.204202574,542,120.2154977,334.7341629,98855,3080.180243,591810,0.20713073,1089,2823,1
NiaGriffithMP,7,11.93775934,220,19.24757531,5754,124.7883817,51.66804979,12369,583.8378087,24904,0.760914761,5000,651,1
gavinshuker,6,3.592433362,144,10.8347556,4178,102.0558899,669.1530525,146859,7089.699605,778225,0.314974182,5000,845,1
Puttick4Macc,8,1.929155313,26,3.33594005,708,126.2752044,77.80108992,6962,499.5950744,28553,0.994535519,732,697,0
emilyfermor,6,2.127272727,45,4.415761901,1404,113.1909091,190.0939394,23987,1366.084001,125462,0.55538695,684,737,1
stuartjeffery,6,0.282312925,7,0.811415215,83,116.8401361,371.0510204,25551,2005.683722,109089,1.245733788,1610,1659,1
Y_FovargueMP,6,2.055952381,121,7.746456197,1727,120.5392857,906.4107143,676292,23351.57361,761385,0.436233611,5000,830,0
johnleechmcr,8,2.715899919,177,10.62030875,3365,109.8813559,249.1291364,96902,3415.904439,308671,0.092084006,5000,1312,0
