screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
Termy,6,0.327731092,9,0.944771047,78,108.3067227,523.3487395,39332,3111.105171,124557,0.392405063,415,540,0
JamesWrightLD,7,1.441558442,48,4.760479913,222,125.7662338,230.525974,9245,975.8234498,35501,0.607843137,738,1427,1
WilliamPHDyer,4,1.590909091,57,5.652774252,210,100.9469697,57.78030303,2589,280.9552244,7627,0.694656489,1673,891,0
DanielZeichner,8,9.068131868,225,23.56813307,4126,126.0065934,220.1956044,33741,1956.499596,100189,0.204845815,5000,4281,1
robertcourts,6,4.449074074,34,6.063491162,961,133.2361111,158.5601852,10638,890.0456429,34249,0.43255814,5000,3190,0
Eluned_Parrott,4,0.865942029,15,2.109364778,239,115.2644928,288.5942029,13483,1428.774278,79652,0.338181818,4054,692,1
Georgina_Milne,3,7.038167939,109,14.27558883,922,124.8854962,555.9389313,67375,5870.37832,72828,0.7,4349,2337,0
PaulaJaneB,7,5.685144124,112,11.63251907,2564,122.7405765,39.45454545,14483,681.1138455,17794,0.206666667,5000,1274,0
MilesGrindey,9,0.96097561,50,3.706084519,197,104.195122,487.0829268,23371,2537.246617,99852,0.455882353,937,850,1
joerichards,5,2.535335689,719,30.3675015,1435,124.5335689,1131.060071,303005,13344.81967,640180,0.148672566,693,629,0
GillFurnissMP,7,4.743670886,217,14.17791978,1499,121.5379747,212.2689873,23987,1640.614203,67077,0.295238095,3659,801,1
johnpotterLD,4,1.164835165,83,6.238126426,318,98.33699634,590.4285714,73877,4978.664283,161187,0.341911765,1384,1428,1
_Peacocks_,6,0.568627451,56,3.513706107,203,106.8851541,1165.845938,229699,12529.87645,416207,0.258426966,490,1278,1
mikejwood,7,5.188311688,996,57.22622792,1598,88.71103896,55.68181818,3130,308.2644169,17150,0.276872964,3339,1908,1
TommySheppard,6,47.06101695,648,83.64640877,13883,126.1457627,133.5389831,6045,503.2161826,39394,0.316326531,5000,410,1
tracy_harvey,3,1.166666667,9,2.353484414,35,103.5,5.2,56,11.46123903,156,3.034482759,1036,1203,1
JudithBuntingLD,10,2.122196442,300,9.218021497,2744,120.3472544,115.3488012,72482,2073.385317,149146,0.071981424,2867,3222,0
laylamoran,7,6.437659033,172,18.70384719,2530,95.65139949,171.697201,51810,2622.10978,67477,0.237244898,5000,4324,1
Sandhyamma,4,0.277777778,2,0.532870169,20,125.125,291.3194444,8156,1118.039192,20975,1.253521127,719,741,0
ClaireforTAY,4,2.326359833,18,3.631881109,556,112.9288703,77.41004184,2650,279.9586925,18501,0.390756303,782,728,1
racheleden,6,1.649700599,46,4.052062006,551,115.7095808,352.7305389,27146,2370.985063,117812,0.276276276,3077,2526,0
ldmikebell,5,0.49867374,10,1.116846328,188,121.0424403,139.7824934,25047,1316.044443,52698,0.242021277,1656,2142,1
YasminQureshiMP,7,12.18120805,362,41.56486863,1815,123.4832215,628.0469799,36498,3714.683177,93579,0.628378378,5000,2375,1
MadeleineMoon,5,4.603030303,85,8.517539296,1519,126.5878788,80.8,8405,595.565758,26664,0.282674772,5000,903,1
CreweLabour,3,6.714285714,29,7.539690894,188,119.4285714,133.0357143,2784,520.0308014,3725,3.296296296,865,412,1
ASJSimpson,8,0.253405995,8,0.866313626,93,122.2070845,800.1798365,41346,3461.523598,293666,0.25136612,406,193,0
MartynDaySNP,4,3.064935065,102,12.49554483,236,129.5324675,284.3506494,7555,1080.823793,21895,1.184210526,5000,846,0
andymstrange,5,2.142857143,13,3.481730745,45,99,1.095238095,6,1.600736792,23,3.5,287,334,1
StephenGethins,5,15.81671159,447,45.29524399,5868,127.9703504,96.2884097,11570,644.4622367,35723,0.251351351,5000,1971,1
AnnelieseDodds,5,5.961538462,359,23.96308181,1550,132.0038462,114.8153846,7364,625.9869903,29852,0.359073359,5000,879,0
Telfordlabour,5,5.103896104,360,18.31968141,2751,129.3209647,42.14471243,4516,302.6463758,22716,0.152416357,2484,1414,1
dinahkeal,5,0.912727273,32,2.827080379,251,124.0618182,428.8981818,55567,4566.330096,117947,0.332116788,865,1492,0
JoySquires,7,1.435530086,29,3.425757577,501,120.3524355,133.9885387,13125,819.9198716,46762,0.264367816,2122,1287,0
MikeKaneMP,3,6.465306122,82,14.27498956,1584,124.8040816,354.955102,42609,2875.389703,86964,0.381147541,5000,2223,0
callum_mccaig,6,35.66920152,5170,223.434054,28143,117.7579214,1137.435995,303003,11353.43639,897437,0.118020305,5000,1108,1
LabourMarina,4,0.84556962,19,2.115392501,334,118.0075949,536.9518987,32666,2372.582001,212096,0.230964467,974,464,1
NickGibbUK,4,5.125,82,10.72074508,410,113.175,102.5875,4987,582.1710379,8207,1.17721519,5000,1352,1
PeterThornton10,7,0.42739726,17,1.481692874,156,96.22191781,764.1589041,32346,3135.654185,278918,0.255494505,649,294,0
EmmaWhysall,5,2.138059701,76,7.579895785,573,115.0074627,1019.343284,104115,7519.152138,273184,0.348314607,1075,855,1
gregjudge,4,0.325301205,5,0.995271153,27,125.5421687,1359.807229,47744,6528.187965,112864,0.926829268,1484,1792,0
chhcalling,4,4.518867925,169,14.07006131,1437,116.1446541,199.2421384,44560,2539.685509,63359,0.293375394,5000,141,1
AlanUkip,4,1.946587537,89,7.113125448,656,98.57566766,66.72700297,4177,342.2750767,22487,0.267857143,867,88,1
HugoSwire,4,2.032490975,25,3.619395995,563,116.7942238,1030.231047,225279,13540.33807,285374,0.336956522,5000,877,1
PaulMcGarryUK,3,1.326530612,8,1.595756555,65,118.4897959,31.40816327,974,145.3785935,1539,1.729166667,5000,3233,1
Hitesh_T,5,0.677142857,31,2.191227407,237,126.4171429,1578.548571,80503,7582.478122,552492,0.263610315,2393,3472,1
IanMurrayMP,6,34.50877193,2194,144.4264928,13769,121.3283208,464.9473684,30605,2602.52307,185514,0.233668342,5000,2562,1
mwinnington,7,0.657360406,19,1.866580015,259,125.5634518,368.1040609,18964,1617.896925,145033,0.234096692,717,350,0
jeremy4glos,5,0.405,12,1.175148927,81,116.015,520.485,66600,4713.90878,104097,0.467336683,731,612,1
juliejonesevans,4,0.77675841,11,1.449141224,254,111.6207951,46.22629969,13766,760.1270078,15116,0.285276074,884,650,1
mthrel,5,2.228346457,98,7.635071355,566,107.8385827,61.27165354,4023,364.4523788,15563,0.367588933,2312,1903,0
Bobby_Dean,5,2.110215054,103,6.300810919,785,111.5645161,167.3360215,51811,2691.695947,62249,0.234501348,1502,1741,1
rheawolfson,4,25.19230769,760,79.09931943,5895,110.6367521,510.0555556,38841,3203.813246,119353,0.394849785,5000,2923,1
mpntod,4,0.470948012,37,2.416478853,154,119.6452599,11817.90826,3622845,200012.3771,3864456,0.282208589,3669,3510,1
AledMorganH,4,2.62,86,8.597708997,1048,110.8725,278.1525,23987,1973.937201,111261,0.233082707,1590,1484,1
sarahjolney1,4,23.44848485,543,68.55910134,7738,117.8787879,75.56666667,10638,602.375487,24937,0.282674772,5000,626,0
RykDownes,4,0.450617284,37,2.993928979,73,99.31481481,990.345679,121018,9588.108225,160436,0.577639752,679,442,1
Mark_Spencer,1,1.894736842,50,5.667030568,180,120.7684211,390.2631579,10638,1390.260477,37075,0.989361702,5000,867,1
sheryllmurray,4,2.287833828,30,2.847811445,771,104.5103858,18.21364985,1392,96.33171882,6138,0.276785714,5000,372,0
jordslw,3,1.741935484,79,10.02084196,108,106.2258065,100,3704,497.1571115,6200,1.37704918,328,379,0
DanielMNorton,2,0.141744548,10,0.719229908,91,129.8161994,764.7819315,229701,9300.529662,490990,0.143525741,261,449,1
lucyvsalek,8,0.706378987,76,4.373626466,753,123.4484053,220.3292683,19283,1098.517117,234871,0.087323944,2437,2300,0
margot_james_mp,4,5.572864322,164,13.01384911,1109,125.2110553,46.67336683,2244,220.3825793,9288,0.464646465,5000,1140,1
KateGreenSU,6,6.769041769,214,16.64326456,2755,108.7936118,101.2604423,5396,484.3535432,41213,0.229064039,5000,1407,0
NewhamGreens,6,0.434554974,11,1.386040987,83,122.1465969,2233.617801,150382,14800.81669,426621,0.473684211,1276,1082,1
cllrccarubia,4,0.207058824,7,0.702564753,88,117.9223529,896.0470588,134478,6873.515067,380820,0.219339623,226,116,1
margarethodge,4,4.550724638,93,10.37211456,628,117.4347826,5.768115942,123,15.0315079,796,0.656934307,5000,1345,1
SteMorris,6,0.315589354,16,1.374407696,83,115.5665399,592.9353612,50472,3731.919527,155942,0.354961832,659,245,1
simonfell,8,2.232876712,34,3.531930854,815,103.0273973,86.94246575,5056,380.7409495,31734,0.255494505,727,770,1
WarrenLFox,2,1.945578231,29,3.4636741,286,100.2857143,13.57823129,1396,116.2051859,1996,0.609589041,1866,2467,0
PaulforMP,7,1.165467626,18,2.860289069,324,125.4928058,628.2086331,23015,2504.407008,174642,0.332129964,315,230,1
shales73,3,0.668918919,74,4.357950971,198,127.2871622,811.1824324,76053,4902.367326,240110,0.315254237,686,1133,1
DNuttall,3,2.290322581,29,5.675036157,142,120.5645161,208.983871,10638,1340.855691,12957,1.459016393,5000,760,1
AndrewCreak,6,0.484848485,24,2.430295473,48,112.0808081,10.31313131,235,38.43547563,1021,0.867346939,597,925,1
